SampleID,I,II,III,IV,V,Farm,Distance,Station,Rep,Sandfine,Silt,Clay,MO,TFS,TN,TOC,bMBI_JA,bMBI_keely,bMBI_borja
Int_0m_2_b,1.053864168618267,0,1.1709601873536302,35.24590163934426,62.52927400468384,Farm 2,0 m,2,b,2.715264798,5.94517134,85.93613707,7.432319893,632.0241119,0.105266981,0.888714373,4.2059282002222,9.300936768149883,5.372950819672131
Int_0m_2_c,2.716857610474632,0,1.6366612111292964,37.93780687397709,57.708674304418984,Farm 2,0 m,2,c,1.256923077,5.533846154,91.52192308,6.970886534,496.2736783,0.151256084,1.1857421399999999,3.9265144103041094,8.87103109656301,5.218821603927987
Int_0m_3_a,1.0138476755687438,0,0.3956478733926805,43.768545994065285,54.8219584569733,Farm 2,0 m,3,a,6.025301205,9.857429719,76.41204819,9.688330788,466.252599,0.175104484,1.853183627,3.7591834204539776,8.77893175074184,5.2707715133531154
Int_0m_3_b,0.8843537414965987,0,0,45.20408163265306,53.91156462585034,Farm 2,0 m,3,b,1.79704918,3.332131148,94.00491803,7.582191867,110.1372753,0.0888,0.649411917,3.7036313572562163,8.729591836734693,5.268877551020409
Int_0m_3_c,3.8593481989708405,0,0.38593481989708406,43.267581475128644,52.48713550600343,Farm 2,0 m,3,c,0.780625,7.035,91.770625,18.42890556,357.640233,0.109318316,0.882556319,3.607390359266367,8.473413379073756,5.107847341337907
Int_1000m_1_a,57.88018433179724,10.894009216589861,24.46082949308756,4.147465437788019,2.6175115207373274,Farm 2,1000 m,1,a,0.722429907,5.872897196,93.4046729,8.584373713,103.4747421,0.157729492,1.555196762,0.8445698707826453,1.4187096774193548,1.2409216589861753
Int_1000m_1_b,64.1914191419142,8.766501650165017,20.13201320132013,3.5891089108910887,3.320957095709571,Farm 2,1000 m,1,b,0.410135135,7.625675676,91.96418919,10.75624214,133.8510407,0.161598489,1.656557798,0.7624051708805669,1.3134282178217822,1.0962252475247525
Int_100m_1_a,42.16417910447761,7.686567164179105,19.17910447761194,12.276119402985074,18.69402985074627,Farm 2,100 m,1,a,0.254761905,13.20277778,86.25119048,7.087477586,154.0269435,0.0984,0.971117735,1.7574032170374003,3.5477611940298504,2.3647388059701493
Int_100m_1_b,39.790459206419975,6.665180561747659,19.66116807846634,14.645563976816764,19.237628176549265,Farm 2,100 m,1,b,0.461132075,7.034716981,91.68188679,6.342767824,194.6352989,0.119757794,1.228741288,1.796300740709939,3.730606330806955,2.503120820329915
Int_100m_1_c,40.232520058948744,7.204846897003439,16.4565252988374,7.827083674471917,28.279024070738494,Farm 2,100 m,1,c,0.910162602,17.10162602,81.98821138,8.169743206,40.26680955,0.0985,1.188968897,2.275969687800531,4.3866055346323884,2.6507286720157195
Int_2000m_1_a,63.76085504342017,13.126252505010019,18.102872411489646,1.837007348029392,3.173012692050768,Farm 2,2000 m,1,a,0.978688525,16.73688525,82.28442623,12.57408079,150.4645556,0.180737302,2.243787527,0.7908432207893861,1.2125918503674016,1.0130260521042085
Int_2000m_1_b,73.11309380274898,11.45406317820111,12.563298770195322,1.6397395707740534,1.22980467808054,Farm 2,2000 m,1,b,0.560843373,16.58253012,82.85662651,11.82719859,14.72177286,0.17027308,1.682301402,0.529641613611039,0.7782734506872439,0.6962864721485411
Int_2000m_1_c,71.63072776280323,9.703504043126685,13.90386343216532,2.223719676549865,2.5381850853548964,Farm 2,2000 m,1,c,0.308588957,14.53312883,85.15828221,9.562168031,24.06425502,0.169395074,1.819803238,0.6065077930594989,0.9784366576819405,0.8150269541778975
Int_250m_1_a,48.88111888111888,11.538461538461538,25.967365967365968,5.244755244755245,8.368298368298369,Farm 2,250 m,1,a,0.086243386,6.451322751,93.46243386,9.372217959,139.1743613,0.164121196,1.60241127,1.2580019285850772,2.2185314685314688,1.6902097902097903
Int_250m_1_b,42.28329809725159,7.135306553911206,15.829809725158562,10.940803382663848,23.8107822410148,Farm 2,250 m,1,b,0.093167702,6.185093168,93.72173913,6.37310655,162.6706403,0.124988213,1.489724994,2.000049233945078,3.986257928118393,2.502906976744186
Int_250m_1_c,39.82549957782156,8.753166338305657,14.382212215029552,10.77962285392626,26.25949901491697,Farm 2,250 m,1,c,0.259728507,12.79276018,86.94751131,9.292763158,207.1674794,0.164997414,1.608726621,2.1599368885571137,4.25288488601182,2.6234168308471713
Int_500m_1_a,58.149405772495754,10.35653650254669,22.94850028296548,4.86700622524052,3.6785512167515564,Farm 2,500 m,1,a,0.16875,5.73625,94.095,7.089641239,170.464582,0.12365634,1.523880601,0.877879431420582,1.5285795132993776,1.2835314091680816
Int_500m_1_b,60.880829015544045,8.697261287934863,19.781643227239083,6.4026646928201325,4.23760177646188,Farm 2,500 m,1,b,0.216587678,7.023222749,92.76018957,7.184417942,276.4769752,0.139591679,1.514588356,0.8315510054799736,1.5525536639526276,1.2662842339008142
Int_500m_1_c,56.180930352094585,10.023130300693909,21.51117964533539,4.52325880236443,7.761500899511693,Farm 2,500 m,1,c,0.313227513,5.921693122,93.76507937,7.153963546,194.6352989,0.136207834,1.601288319,1.1014357850700744,1.953225391930095,1.4649190439475712
Int_50m_1_a,31.439576311988443,2.5517573423206548,10.688493018777082,24.410207029369282,30.909966297544532,Farm 2,50 m,1,a,1.034408602,8.767204301,89.55591398,7.302873219,276.4769752,0.164267808,1.709054947,2.3536583351051013,5.28863745787193,3.311988444872412
Int_50m_1_b,36.08116677235257,3.5193405199746355,12.840837032339886,18.357641090678502,29.201014584654406,Farm 2,50 m,1,b,0.51728972,9.514485981,89.77009346,6.662719266,247.8757333,0.178899601,1.56412375,2.2640063974349336,4.86001902346227,3.016169942929613
Int_50m_1_c,11.850412821758136,3.2054395337542494,3.011170471102477,17.629917435648373,64.30305973773677,Farm 2,50 m,1,c,0.482352941,9.573796791,89.43368984,6.99827761,411.548776,0.116167068,1.469075918,4.298992273553845,8.73627974745022,4.789946576007772
Int_Control_1_a,97.1291866028708,0,0,0,2.8708133971291865,Farm 2,Control,1,a,0.350721801,19.17385205,80.47542615,11.94693025,26.63237405,0.166492224,2.058109522,0.1599013267623208,0.34449760765550236,0.17224880382775118
Int_Control_1_b,80.61785865425307,7.405840033855268,9.415996614473128,1.3753702920016926,1.184934405416843,Farm 2,Control,1,b,0.40199005,20.9761194,78.62189055,11.38653421,41.86824004,0.159470215,2.091995716,0.3854394695435201,0.6045281421921286,0.5265552264071096
Int_Control_1_c,81.06542056074765,6.373831775700935,9.626168224299066,1.4392523364485983,1.4953271028037385,Farm 2,Control,1,c,0.299453552,17.3715847,82.32896175,10.06046744,47.80487134,0.158161208,1.88786447,0.3888204807978366,0.6357943925233646,0.5388785046728973
Int_Control_2_a,87.61300250048086,4.616272360069244,5.924216195422197,0.7693787266782074,1.0771302173494903,Farm 2,Control,2,a,0.480446927,26.50502793,73.01452514,13.47695178,16.67861809,0.133025229,2.004102468,0.25375044289082865,0.4146951336795538,0.3462204270051933
Int_Control_2_b,76.57197574210024,8.33067347590169,12.160868177465687,1.6597510373443984,1.2767315671879986,Farm 2,Control,2,b,0.626595745,14.59787234,84.66329787,11.80924022,46.69922388,0.163437799,2.631336689,0.46273138826066373,0.7259814873922756,0.6410788381742738
Int_Control_2_c,78.6246418338109,11.060171919770774,7.908309455587393,1.346704871060172,1.0601719197707737,Farm 2,Control,2,c,0.498067633,13.71062802,85.79130435,13.736203,47.80487134,0.172127515,2.179989338,0.4224624310289227,0.5977077363896848,0.5273638968481376
Int_Control_3_a,69.02307314678448,9.818360333824252,12.763868433971526,6.725576828669612,1.6691212567501228,Farm 2,Control,3,a,0.961170213,9.396276596,89.64255319,12.32365408,55.44145201,0.143431216,2.267076254,0.5625735162043702,1.066764850270005,0.9329896907216494
Int_Control_3_b,79.2022792022792,7.4074074074074066,9.857549857549857,2.564102564102564,0.9686609686609686,Farm 2,Control,3,b,0.869417476,9.966504854,88.95728155,9.758256517,110.1372753,0.166442379,1.79970634,0.38790909403411367,0.6512820512820512,0.5803418803418803
Int_Control_3_c,72.46376811594203,11.956521739130435,9.420289855072465,0,6.159420289855073,Farm 2,Control,3,c,0.547058824,10.44751131,88.59547511,10.24771679,79.99207324,0.195357233,2.29031992,0.783300965329027,1.2010869565217392,0.8315217391304348
